osm_id,matrix_index
512034,0
512039,1
512051,2
512057,3
512064,4
20977775,5
20977783,6
20977807,7
20978209,8
20978257,9
20978316,10
20978320,11
20978340,12
20978343,13
20978627,14
20978722,15
20978726,16
20978790,17
20978794,18
20978821,19
21133583,20
21280193,21
21280251,22
21280254,23
21280286,24
21280316,25
21280319,26
21280345,27
21280388,28
21280413,29
21432788,30
21432792,31
21432834,32
21432844,33
21432861,34
21648952,35
21649702,36
21649767,37
21649781,38
21649818,39
21650017,40
21650045,41
21672845,42
21672882,43
21672897,44
21672943,45
21672958,46
21672962,47
21673578,48
21673581,49
21673584,50
21673613,51
21686234,52
21686237,53
21686260,54
21686265,55
21686269,56
21686272,57
21686296,58
21686313,59
21686318,60
21686358,61
21686371,62
21686374,63
21686395,64
21686411,65
21686419,66
21686456,67
21686467,68
21686469,69
21686472,70
21686475,71
21686479,72
21686487,73
21686490,74
21686503,75
21686509,76
21686515,77
21686594,78
21686610,79
21686908,80
21686909,81
21686911,82
21687044,83
21687048,84
21687052,85
21687093,86
21687117,87
21687123,88
21732654,89
21732671,90
21732679,91
21732697,92
21732874,93
21732929,94
21732936,95
21732959,96
21732980,97
21732984,98
21732988,99
21732995,100
21733267,101
21733269,102
21733272,103
21733274,104
21733275,105
21733283,106
21733284,107
21733290,108
21733301,109
21733321,110
21733328,111
21733330,112
21733331,113
21733332,114
21817963,115
21817966,116
21818014,117
21818094,118
21818096,119
21818133,120
21818143,121
21818201,122
21818213,123
21818215,124
21818218,125
21818244,126
21818249,127
21818251,128
21818254,129
21818266,130
24306323,131
24306337,132
24306344,133
24306390,134
24306395,135
24306424,136
24306464,137
24306472,138
24311169,139
24311258,140
24311332,141
24311381,142
24311614,143
24311677,144
24311697,145
24311744,146
24311944,147
24360236,148
24555431,149
24555473,150
24555474,151
24555481,152
24555496,153
24555507,154
24555545,155
24555547,156
24555564,157
24555573,158
24555574,159
24958081,160
24958083,161
24958098,162
24958158,163
24958163,164
24958167,165
24958178,166
24958180,167
24958183,168
24958187,169
24958194,170
24958197,171
24958203,172
24958205,173
24958206,174
24958208,175
24958210,176
24958212,177
24958219,178
24958221,179
24958224,180
25029794,181
25029808,182
25029841,183
25030939,184
25030944,185
25030949,186
25030954,187
25030957,188
25030979,189
25031025,190
25031031,191
25031035,192
25031043,193
25031048,194
25031050,195
25031069,196
25031097,197
25031103,198
25100837,199
25100845,200
25100858,201
25103088,202
25103117,203
25105821,204
25105953,205
25113818,206
25113830,207
25113833,208
25117432,209
25117447,210
25117503,211
25117508,212
25283538,213
25283546,214
25283557,215
25283578,216
25283580,217
25283582,218
25283584,219
25283588,220
25283590,221
25283591,222
25283631,223
25283640,224
25283662,225
25283727,226
25283783,227
25283809,228
25283810,229
25284066,230
25284069,231
25422067,232
25422068,233
25422070,234
25422071,235
25422074,236
25422075,237
25422076,238
25422081,239
25422086,240
25438844,241
25440131,242
25552996,243
25553000,244
25553025,245
25553050,246
25553053,247
25553070,248
25553075,249
25553088,250
25553096,251
25553132,252
25553134,253
25928708,254
25928709,255
25928711,256
25928712,257
25928719,258
25928721,259
26421523,260
26421529,261
26421531,262
26421534,263
26421538,264
26734760,265
26734761,266
26744735,267
26744737,268
26744739,269
26744741,270
26744757,271
26744826,272
26744840,273
26744842,274
26744854,275
26744869,276
26744871,277
26744882,278
26744883,279
26744889,280
26744912,281
26744915,282
26744931,283
26744933,284
26745775,285
26745785,286
26745799,287
26745821,288
26745824,289
26745826,290
26745834,291
26745836,292
26745850,293
26745868,294
26745908,295
26745913,296
26745917,297
26745918,298
26754383,299
26754384,300
26754386,301
26754387,302
26754432,303
26754434,304
26768322,305
26768323,306
26768326,307
26819800,308
26819802,309
26819805,310
26819809,311
26819811,312
26819851,313
26819869,314
26819876,315
26819891,316
26819892,317
26819953,318
26907020,319
26915333,320
26915335,321
26915336,322
26915341,323
26915342,324
26915350,325
26915351,326
26915352,327
26915354,328
26915356,329
26915362,330
26915366,331
26915380,332
26915393,333
26915399,334
26915439,335
26915441,336
26915452,337
26915456,338
26915508,339
26915509,340
26915522,341
26915525,342
26915542,343
26936832,344
26936902,345
26936904,346
26936931,347
26936932,348
26936933,349
26936934,350
26936935,351
26936936,352
26936937,353
26936938,354
26936940,355
26936946,356
26936967,357
26936968,358
26936969,359
26936970,360
26936971,361
26936973,362
26938716,363
26938717,364
26938718,365
26938719,366
26938721,367
27088458,368
27088461,369
27088467,370
27088471,371
27088479,372
27088480,373
27088481,374
27088482,375
27088492,376
27088507,377
27194895,378
27194900,379
27194902,380
27194904,381
27194905,382
27194916,383
27194921,384
27194922,385
27194923,386
27194925,387
27194927,388
27194929,389
27194932,390
27194940,391
27194941,392
27194943,393
27194947,394
27194954,395
27194958,396
27194959,397
27194960,398
27194961,399
27194964,400
27194965,401
27194968,402
27194969,403
27194975,404
27194987,405
27194989,406
27212962,407
27212974,408
27212980,409
27213003,410
27213006,411
27213014,412
27213017,413
27213062,414
27213072,415
27213101,416
27213116,417
27213121,418
27213137,419
27427973,420
27427992,421
27428016,422
27428128,423
27428129,424
27428130,425
27428132,426
27428361,427
27428375,428
27537983,429
27537989,430
27537993,431
27537998,432
27538005,433
27538064,434
27538078,435
27538087,436
27538116,437
27538122,438
27538130,439
27538138,440
27749563,441
27787754,442
30222159,443
30222167,444
30298853,445
30324356,446
30347275,447
30553227,448
30553228,449
30553230,450
30559005,451
30559007,452
30559031,453
30559033,454
30559045,455
30559047,456
30559051,457
30560615,458
30560616,459
30560617,460
30560619,461
30560625,462
30560634,463
30560639,464
30560656,465
30560679,466
30560684,467
30560694,468
30560711,469
30560713,470
30560723,471
30560728,472
30560737,473
30560739,474
30560741,475
30560744,476
30560805,477
30560806,478
30560807,479
30560812,480
30561264,481
30561265,482
30561269,483
30561270,484
30561271,485
30561292,486
30561536,487
30561549,488
30561550,489
30561551,490
30561569,491
30561596,492
30561872,493
30561874,494
30561892,495
30561964,496
30561966,497
30561974,498
31380987,499
31380988,500
32161926,501
32161927,502
32161932,503
32161935,504
32161940,505
32161946,506
32164304,507
32175710,508
32177021,509
32530888,510
32530890,511
32530893,512
32530894,513
32530900,514
32648101,515
32648102,516
32648104,517
32648106,518
32648108,519
32648112,520
33146152,521
33146158,522
33146181,523
33146187,524
33489972,525
33489985,526
33489999,527
33490014,528
33490024,529
33490050,530
33490408,531
33490415,532
33490419,533
33490439,534
33490453,535
33490456,536
33490458,537
33490994,538
34822542,539
35127152,540
35689148,541
35689149,542
35689214,543
35689221,544
35689224,545
35689227,546
35689233,547
35689238,548
35799300,549
35799311,550
35799314,551
35799317,552
35799319,553
35803367,554
35803370,555
35803374,556
35803378,557
35803381,558
35803389,559
35803393,560
35803397,561
35803399,562
35803405,563
35803408,564
35803412,565
35803421,566
35803425,567
35964588,568
35964592,569
36133847,570
36133848,571
36134740,572
36301133,573
36301150,574
36301155,575
36301194,576
36301199,577
36306136,578
36306137,579
36306139,580
36306142,581
36306144,582
36306156,583
36306162,584
36306169,585
39955745,586
39955839,587
39956093,588
40131266,589
40131285,590
40131289,591
40131323,592
40131385,593
40131390,594
40131467,595
40131527,596
40131542,597
40131563,598
40131578,599
40131583,600
40131587,601
40131591,602
40131594,603
40131602,604
40131615,605
43457476,606
43457479,607
43457501,608
43457519,609
43457527,610
43457538,611
43457547,612
43457551,613
49488657,614
49488736,615
49488778,616
49488807,617
49488813,618
49488820,619
49488863,620
49488886,621
49488903,622
49488925,623
49488930,624
49499533,625
49499570,626
49499699,627
49499721,628
49499966,629
49503111,630
51154584,631
51154591,632
55484320,633
59148178,634
59148184,635
59149720,636
59608948,637
59662220,638
59662240,639
59662248,640
59662253,641
59667683,642
59667686,643
59667690,644
59667691,645
59667699,646
59667701,647
59667704,648
59667707,649
59667709,650
59667717,651
59667720,652
59667721,653
59667723,654
59667724,655
59667728,656
59667730,657
59667743,658
59667746,659
59667749,660
59667751,661
59667752,662
59667755,663
59667758,664
59667760,665
59667761,666
59667763,667
59667764,668
59667766,669
59667771,670
59783841,671
59783988,672
59783990,673
59783991,674
59783993,675
59784000,676
59784002,677
59784003,678
59784005,679
59784008,680
59784010,681
59784012,682
59983379,683
59983380,684
60303330,685
60312494,686
60312496,687
60335057,688
60335058,689
61131178,690
61138982,691
61138985,692
61292883,693
61292902,694
63800712,695
63800734,696
63800740,697
63800758,698
63800763,699
63800771,700
63800787,701
63800795,702
63800808,703
63800856,704
63800864,705
63800870,706
68280171,707
68280174,708
68280179,709
68280191,710
68280199,711
68280209,712
68280215,713
68280218,714
75773878,715
75773880,716
75773882,717
75773888,718
75773892,719
75773898,720
75773906,721
75773908,722
75914846,723
75946774,724
75946776,725
75958527,726
75958535,727
75958538,728
75958540,729
75958545,730
75958546,731
75958547,732
75958551,733
75959517,734
75959521,735
75959522,736
75961572,737
75964365,738
75964368,739
75964372,740
75964374,741
75964377,742
75976567,743
75976568,744
75978131,745
75980139,746
75980141,747
75980142,748
75980143,749
75980145,750
75982011,751
75982012,752
75982013,753
75982897,754
75982899,755
75982900,756
75984167,757
75988178,758
75988179,759
75988180,760
75989691,761
75992201,762
75992804,763
75992805,764
76463495,765
76463502,766
76463642,767
76463644,768
76463712,769
76463722,770
76463723,771
76463744,772
76463820,773
76463825,774
76465724,775
76468557,776
76537273,777
76863293,778
76915115,779
76916619,780
76918044,781
76918045,782
76919905,783
76925728,784
76926004,785
76926513,786
76926943,787
76926965,788
76977884,789
76979189,790
76986155,791
76986157,792
77666542,793
77862756,794
77862757,795
77862759,796
77870415,797
77870420,798
77870434,799
77870446,800
77870451,801
77870460,802
79416740,803
79416748,804
79416812,805
79416815,806
79422703,807
79422708,808
79422718,809
79422724,810
79422727,811
79422730,812
79422739,813
79422743,814
79422747,815
79422751,816
79424171,817
79424194,818
79874461,819
79875692,820
79876798,821
79877106,822
79879930,823
79880808,824
79885679,825
79885702,826
79885703,827
80155239,828
80158549,829
80159102,830
80396904,831
81049201,832
81051384,833
81497916,834
81497921,835
81497925,836
81497927,837
81497928,838
81497954,839
81497959,840
82020788,841
82020804,842
82020818,843
82020842,844
82020860,845
82020895,846
82020909,847
82020910,848
82020914,849
82626804,850
82653670,851
82653671,852
82682761,853
82682763,854
83859990,855
83862166,856
86048134,857
86048188,858
86675601,859
88225816,860
88225819,861
88225822,862
88225828,863
88225833,864
88225838,865
88225840,866
88225861,867
88225870,868
88225875,869
89131370,870
89131371,871
90467965,872
92898348,873
92898357,874
92898366,875
92898374,876
92898381,877
92898387,878
92898394,879
92898401,880
92898411,881
92898422,882
92898430,883
92898466,884
92898502,885
92898511,886
92898521,887
92898526,888
92898530,889
