u,v,k,route_id
1955885928,12057136938,0,0
13068019166,1955885928,0,0
13068019166,13068019163,0,0
13068019166,13068019163,0,0
13068019166,13068019163,0,0
13068019163,13068019162,0,0
13068019162,12057136934,0,0
12057136934,5669650440,0,0
415403483,568700086,0,1
568700086,415403483,0,1
9602462601,568700086,0,1
415403467,9602462601,0,1
9602462601,415403467,0,1
9602462601,415403467,0,1
9602462601,415403467,0,1
415403467,415403465,0,1
8360003665,415403465,0,1
8360003665,10773993044,0,1
10773993044,415403463,0,1
415403463,791242763,0,1
913881522,791242763,0,1
913881522,670636972,0,1
913881489,670636972,0,1
913881489,415403462,0,1
913881538,415403462,0,1
13624460328,913881538,0,1
13624460328,924513949,0,1
568700104,924513949,0,1
568700104,923286601,0,1
923286601,7226986345,0,1
568700100,7226986345,0,1
415403460,568700100,0,1
415403459,415403460,0,1
415403459,415403460,0,1
414925782,415403459,0,1
414925782,415403459,0,1
414925782,414926012,0,1
414926013,414926012,0,1
414926013,414926012,0,1
414926012,414926013,0,1
568700091,414926013,0,1
568700091,414926013,0,1
568700091,414926030,0,1
568700091,414926030,0,1
414926030,568700091,0,1
5996714691,414926030,0,1
414926030,5996714691,0,1
414926030,5996714691,0,1
5996714691,414926030,0,1
5996714691,568700098,0,1
5996714691,568700098,0,1
568700094,568700098,0,1
568700094,568700098,0,1
10684680359,568700094,0,1
10684680359,429302305,0,1
429302305,2574073627,0,1
2574073627,429302305,0,1
2574073627,9610186514,0,1
2574073627,9610186514,0,1
2574073627,9610186514,0,1
2574073627,9610186514,0,1
9610186514,300009551,0,1
300009551,9610186514,0,1
300009551,300009549,0,1
300009549,300009551,0,1
300009551,300009549,0,1
300009549,300009551,0,1
574665748,300009549,0,1
574665748,300009549,0,1
300009549,574665748,0,1
574665748,300009549,0,1
574665748,300009549,0,1
574665748,300009549,0,1
574665748,300009549,0,1
574665748,300009557,0,1
574665748,300009557,0,1
574665748,300009557,0,1
300009557,300009560,0,1
300009557,300009560,0,1
309090993,300009560,0,1
309090988,309090993,0,1
309090988,309090993,0,1
309090993,309090988,0,1
309090993,309090988,0,1
309090988,534818966,0,1
309090988,534818966,0,1
534818966,603803619,0,1
309090958,603803619,0,1
603803619,309090958,0,1
603803619,309090958,0,1
603803619,309090958,0,1
603803619,309090958,0,1
574665790,309090958,0,1
574665790,309090958,0,1
309090958,574665790,0,1
574665790,309090958,0,1
309090951,574665790,0,1
309090951,574665790,0,1
309090951,574665790,0,1
309090951,574665790,0,1
309090951,574665790,0,1
574665790,309090951,0,1
574665790,309090951,0,1
309090951,574665790,0,1
309090951,574665790,0,1
309090951,308819135,0,1
308819135,309090951,0,1
309090951,308819135,0,1
309090951,308819135,0,1
309090951,308819135,0,1
309090944,308819135,0,1
309090944,308819135,0,1
308819118,309090944,0,1
308819118,309090944,0,1
308819118,309090944,0,1
308819118,309090944,0,1
308819118,309090944,0,1
308819118,309090944,0,1
308819118,309090944,0,1
308819118,309090944,0,1
308819118,309090944,0,1
308819116,308819118,0,1
309060401,308819116,0,1
309060401,853635611,0,1
853635611,309060401,0,1
853635611,309060401,0,1
853635611,309060401,0,1
853635611,309060401,0,1
853635611,309060401,0,1
309060401,853635611,0,1
853635611,309060401,0,1
853635611,6551344337,0,1
853635611,6551344337,0,1
597661472,6551344337,0,1
597661472,6551344337,0,1
597661472,6551344337,0,1
597661472,6551344337,0,1
597661472,6551344337,0,1
413941113,309060401,0,1
413941113,309060401,0,1
413941113,309060401,0,1
413941113,309060401,0,1
413941113,309060401,0,1
413941113,309060401,0,1
1416681046,413941113,0,1
1416681046,413941113,0,1
1416681046,413941113,0,1
