osm_id,matrix_index
512034,0
20978257,1
20978316,2
20978320,3
20978343,4
20978627,5
20978722,6
20978821,7
21133583,8
21648952,9
21649702,10
21649767,11
21649781,12
21650017,13
21650045,14
21672845,15
21672882,16
21672897,17
21672943,18
21672958,19
21673578,20
21673581,21
21673584,22
21673613,23
21686237,24
21686265,25
21686269,26
21686272,27
21686313,28
21686358,29
21686371,30
21686374,31
21686395,32
21686411,33
21686419,34
21686456,35
21686467,36
21686469,37
21686472,38
21686475,39
21686479,40
21686487,41
21686490,42
21686503,43
21686509,44
21686515,45
21686594,46
21686610,47
21732671,48
21732679,49
21732929,50
21732936,51
21732959,52
21732980,53
21732984,54
21732988,55
21732995,56
21733267,57
21733269,58
21733272,59
21733274,60
21733283,61
21733290,62
21733321,63
21733328,64
21733330,65
21733331,66
21733332,67
21817963,68
24306323,69
24306337,70
24306344,71
24306390,72
24306395,73
24306424,74
24306464,75
24306472,76
24311169,77
24311258,78
24311332,79
24311381,80
24311614,81
24311697,82
24311944,83
24360236,84
24555431,85
24555474,86
24555481,87
24555496,88
24555545,89
24555547,90
24555564,91
24555573,92
24958081,93
24958083,94
24958098,95
24958158,96
24958163,97
24958167,98
24958178,99
24958183,100
24958187,101
24958194,102
24958205,103
24958206,104
24958208,105
24958210,106
24958212,107
24958221,108
24958224,109
25029794,110
25029808,111
25030944,112
25031031,113
25031048,114
25100837,115
25100845,116
25100858,117
25103088,118
25103117,119
25105821,120
25105953,121
25113818,122
25113830,123
25283538,124
25283546,125
25283557,126
25283578,127
25283580,128
25283582,129
25283584,130
25283588,131
25283590,132
25283591,133
25283631,134
25283640,135
25283727,136
25283783,137
25283809,138
25283810,139
25284066,140
25284069,141
25422067,142
25422068,143
25422070,144
25422071,145
25422074,146
25422075,147
25422076,148
25422081,149
25422086,150
25440131,151
25552996,152
25553000,153
25553025,154
25553050,155
25553053,156
25553070,157
25553075,158
25553088,159
25553096,160
25553132,161
25553134,162
25928711,163
25928712,164
25928719,165
26421538,166
26745908,167
26745913,168
26745917,169
26745918,170
26754384,171
26754386,172
26754387,173
26768322,174
26768323,175
26768326,176
26819800,177
26819802,178
26819805,179
26819851,180
26819869,181
26819876,182
26819891,183
26819892,184
26819953,185
26907020,186
26915333,187
26915335,188
26915341,189
26915351,190
26915356,191
26915362,192
26915366,193
26915380,194
26915393,195
26915439,196
26915441,197
26915452,198
26915456,199
26915508,200
26915509,201
26915542,202
26936832,203
26936902,204
26936904,205
26936931,206
26936932,207
26936933,208
26936934,209
26936935,210
26936937,211
26936938,212
26936940,213
26936946,214
26936967,215
26936968,216
26936969,217
26936970,218
26936971,219
26936973,220
26938716,221
26938717,222
26938718,223
26938719,224
26938721,225
27088458,226
27088461,227
27088471,228
27088479,229
27088480,230
27088481,231
27088482,232
27088492,233
27194895,234
27194900,235
27194902,236
27194904,237
27194905,238
27194916,239
27194921,240
27194922,241
27194923,242
27194925,243
27194927,244
27194929,245
27194932,246
27194940,247
27194941,248
27194943,249
27194947,250
27194954,251
27194961,252
27194964,253
27194965,254
27194968,255
27194969,256
27194975,257
27194987,258
27194989,259
27212962,260
27212974,261
27212980,262
27213014,263
27213017,264
27213062,265
27213072,266
27213116,267
27213121,268
27428128,269
27428129,270
27428130,271
27428132,272
27428361,273
27428375,274
27537983,275
27537989,276
27537993,277
27537998,278
27538005,279
27538087,280
27538116,281
27538122,282
27538130,283
27538138,284
27749563,285
27787754,286
30222167,287
30298853,288
30324356,289
30347275,290
30553227,291
30553228,292
30553230,293
30560619,294
30560625,295
30560656,296
30560679,297
30560684,298
30560694,299
30560711,300
30560713,301
30560737,302
30560739,303
30560744,304
30560805,305
30560806,306
30560807,307
30560812,308
30561270,309
30561271,310
30561292,311
30561536,312
30561549,313
30561550,314
30561551,315
30561569,316
30561596,317
30561872,318
30561892,319
30561964,320
30561974,321
31380987,322
31380988,323
32175710,324
32177021,325
32648101,326
32648102,327
32648104,328
32648106,329
32648108,330
32648112,331
34822542,332
35127152,333
35689224,334
35689227,335
35803425,336
36133847,337
36133848,338
36134740,339
36301133,340
36301150,341
36306136,342
36306137,343
36306139,344
36306169,345
39956093,346
40131266,347
40131289,348
40131323,349
40131385,350
40131390,351
40131527,352
40131542,353
40131563,354
40131578,355
40131587,356
40131591,357
40131594,358
40131602,359
40131615,360
43457476,361
43457479,362
43457501,363
43457519,364
43457527,365
43457538,366
43457547,367
43457551,368
59148178,369
59148184,370
59149720,371
59667686,372
59667690,373
59667720,374
59667721,375
59667746,376
59667749,377
59667751,378
59667752,379
59667755,380
59667760,381
59667761,382
59667763,383
59667764,384
59784005,385
59784008,386
59784012,387
59983380,388
60312494,389
60312496,390
60335057,391
61131178,392
61138982,393
61138985,394
63800712,395
63800734,396
63800740,397
63800758,398
63800763,399
63800771,400
63800787,401
63800795,402
63800808,403
63800856,404
63800864,405
63800870,406
75773878,407
75773880,408
75773882,409
75946774,410
75961572,411
75980142,412
75980143,413
75980145,414
75982897,415
75982899,416
75982900,417
76463712,418
76463723,419
76463744,420
76863293,421
76918045,422
76925728,423
76986155,424
77666542,425
77862756,426
77870451,427
79875692,428
79877106,429
79879930,430
80159102,431
81049201,432
81051384,433
82020818,434
82020842,435
82020914,436
82653670,437
82653671,438
82682763,439
88225875,440
89131370,441
89131371,442
90467965,443
92898348,444
92898366,445
92898374,446
92898381,447
92898387,448
92898394,449
92898401,450
92898411,451
92898422,452
92898430,453
92898466,454
92898502,455
92898511,456
92898521,457
92898526,458
92898530,459
92898533,460
95103420,461
95103421,462
95103426,463
95103434,464
95103462,465
95882440,466
95882442,467
95882449,468
95897308,469
95897320,470
95897334,471
95897402,472
95897407,473
95897413,474
110228933,475
110295415,476
110412460,477
110412464,478
110412468,479
110664285,480
110664286,481
110664288,482
110767736,483
113991681,484
113991691,485
113991694,486
113991701,487
113991712,488
113991732,489
113991755,490
113991840,491
113991861,492
113991878,493
113991882,494
121996660,495
121996670,496
121996676,497
121996689,498
124576985,499
124579048,500
124580319,501
124604027,502
124604028,503
124604030,504
132331226,505
134390925,506
135633975,507
135634178,508
135634183,509
135634339,510
135634474,511
135634504,512
135634630,513
135634714,514
135634728,515
135634756,516
135634766,517
135634796,518
135635081,519
135635088,520
135635095,521
135635101,522
135635113,523
135635604,524
135635657,525
135635676,526
135635697,527
137516607,528
142350519,529
142350530,530
146013804,531
146013817,532
146013828,533
146013833,534
146013842,535
146782741,536
146791103,537
146797205,538
146797206,539
147133853,540
147134197,541
147134506,542
147134760,543
147146481,544
147146928,545
147147531,546
147147547,547
147147561,548
147147851,549
147149241,550
147150234,551
147150239,552
148395837,553
148395839,554
148494422,555
148503857,556
148947703,557
148992497,558
148992498,559
148992500,560
148992507,561
148992527,562
148992529,563
148992531,564
148992532,565
148992535,566
154675135,567
154675182,568
154675186,569
154745413,570
154772221,571
155029984,572
155029988,573
155033824,574
155033828,575
155033833,576
155036471,577
155038905,578
155044453,579
155044457,580
155046054,581
155046056,582
155049348,583
155049576,584
155051695,585
155051703,586
155300331,587
155308960,588
155309558,589
155309559,590
155311027,591
155615883,592
155617286,593
156455789,594
156455811,595
156461950,596
156702856,597
156702861,598
156702962,599
156702967,600
156702975,601
156702983,602
156702986,603
156703023,604
156703029,605
156703035,606
156703042,607
156703047,608
156703053,609
156703103,610
162629306,611
162629315,612
162629320,613
162629376,614
162629393,615
162779543,616
166168471,617
169652096,618
179913505,619
180558950,620
180937433,621
180937436,622
180937439,623
180937440,624
180937441,625
180937447,626
180937455,627
180939919,628
180939920,629
180945556,630
180946886,631
180964333,632
181314314,633
186083614,634
186083622,635
186083624,636
186084231,637
186084236,638
188476591,639
188476598,640
188476603,641
188677393,642
188679667,643
188680235,644
188683812,645
188684978,646
188690952,647
192294965,648
192727851,649
192728682,650
192728684,651
192731153,652
192738866,653
192738870,654
192741405,655
192741435,656
192742246,657
192742758,658
192743760,659
192744790,660
192964386,661
192984037,662
192992757,663
194710558,664
194711001,665
194715605,666
194725468,667
194725471,668
194725791,669
194725792,670
194725795,671
194731834,672
194733759,673
194733760,674
194734258,675
194734262,676
194745888,677
194746549,678
194749701,679
195568289,680
199043790,681
199043795,682
199043826,683
199043839,684
199261109,685
199261111,686
201161615,687
201161619,688
201161625,689
201161633,690
201161637,691
201161691,692
201161696,693
201161704,694
201161708,695
201161711,696
201161735,697
219044399,698
228591742,699
228607237,700
228608773,701
236065030,702
236066905,703
236071498,704
236082251,705
236089816,706
236091541,707
236091653,708
236103510,709
236103524,710
236103702,711
236106101,712
236107395,713
236109551,714
236114287,715
236115165,716
236128764,717
236130703,718
236130705,719
236132614,720
237188735,721
237189209,722
237196403,723
237198900,724
237198901,725
237198902,726
240175401,727
240177520,728
240179765,729
240179771,730
240182269,731
240192405,732
240193460,733
240193468,734
242921261,735
242921381,736
242921575,737
242921704,738
242921712,739
242921783,740
242921785,741
242921943,742
242922019,743
242922020,744
242922202,745
242922242,746
242922428,747
242922655,748
242922704,749
242922882,750
242922883,751
242922884,752
242922885,753
242922993,754
242922998,755
242923000,756
245457945,757
247123224,758
247123233,759
247123241,760
247123323,761
247189221,762
247897267,763
248539899,764
248539900,765
248539902,766
248539903,767
248539904,768
248539905,769
248539906,770
248539911,771
248539912,772
248780644,773
248780650,774
248780651,775
248780652,776
248780653,777
248780661,778
248781409,779
248781410,780
248781741,781
248781744,782
248782307,783
248782308,784
248782310,785
248782313,786
248782314,787
248782316,788
248782319,789
248782320,790
248782321,791
248783352,792
248783354,793
248783355,794
248783356,795
248783357,796
248783753,797
249247095,798
249247096,799
249247214,800
249247530,801
249247537,802
249250497,803
249250498,804
249805892,805
249805893,806
249805896,807
249805897,808
249805900,809
249805907,810
249805910,811
249805911,812
249805913,813
249820010,814
249820012,815
250068870,816
251707128,817
251707129,818
251716145,819
251716286,820
251716287,821
251716547,822
251718173,823
251718174,824
251718275,825
251718276,826
251753075,827
251753077,828
252685593,829
253877610,830
253877726,831
253877730,832
253877953,833
255196631,834
255196633,835
255196642,836
256838187,837
256838191,838
258642479,839
258642495,840
258642499,841
258642591,842
258642621,843
258642631,844
258642635,845
258642639,846
258642643,847
258642701,848
258642707,849
258642715,850
258642786,851
258642800,852
258642903,853
258642914,854
258642916,855
258642921,856
258642923,857
258642941,858
258643003,859
258643016,860
258643030,861
258643039,862
258643041,863
258643046,864
258643160,865
258913627,866
258913633,867
258913634,868
258913635,869
258913639,870
258913641,871
261599369,872
261599370,873
261599377,874
261599386,875
261599387,876
261617372,877
261617374,878
261617375,879
261617376,880
261617381,881
262154411,882
262154414,883
262275530,884
262288049,885
262288052,886
262463290,887
262463299,888
262463812,889
262463815,890
262464369,891
262465873,892
262465972,893
262466249,894
262466250,895
262466340,896
262466456,897
264200419,898
264490942,899
264490943,900
264490944,901
264490945,902
264490946,903
264490947,904
264490952,905
264491205,906
264491208,907
264491209,908
264499626,909
264499627,910
264499631,911
264499634,912
264857419,913
264857420,914
264857422,915
264857434,916
264858187,917
264858194,918
264858198,919
264858200,920
265512632,921
265520208,922
265587926,923
265588009,924
265591316,925
265624416,926
265624421,927
265624426,928
265624428,929
265872930,930
265873117,931
265873121,932
266023904,933
266024166,934
266024329,935
266024340,936
266024344,937
266024345,938
266024346,939
266024347,940
266024349,941
266024358,942
266024575,943
266024582,944
266024667,945
266024668,946
266024669,947
266024983,948
266186964,949
266186967,950
266186969,951
266186970,952
266187443,953
266187449,954
266190132,955
266298359,956
266298376,957
266298378,958
266633264,959
266633267,960
266633273,961
266633274,962
266633276,963
266633277,964
266633280,965
266635388,966
266635389,967
266635392,968
266635395,969
266635396,970
266745693,971
266745694,972
266746563,973
266746588,974
266746608,975
266746611,976
266746642,977
266746680,978
266746681,979
266746771,980
266746772,981
