,GraphhopperKoordinaten,startpoint_lat,startpoint_lon,endpoint_lat,endpoint_lon,StartStationID,StartStationName,EndStationID,EndStationName
10,"[(8.45685, 49.487121), (8.456899, 49.487178), (8.456982, 49.487147), (8.457492, 49.48771), (8.461296, 49.486236), (8.461361, 49.4862), (8.461572, 49.486274), (8.461676, 49.486299), (8.46167, 49.486359), (8.461696, 49.486426), (8.461747, 49.486469), (8.462433, 49.486709), (8.462547, 49.486758), (8.462626, 49.486827), (8.462937, 49.486711), (8.46452, 49.488419), (8.465929, 49.487872)]",49.487121,8.45685,49.487872,8.465929,339472,A5 - Universität West,,
11,"[(8.467846, 49.477824), (8.467896, 49.477872), (8.46702, 49.478245), (8.466964, 49.4782), (8.467013, 49.47817), (8.466877, 49.478154), (8.46686, 49.478141), (8.466911, 49.478112), (8.466829, 49.478044), (8.46666, 49.478119), (8.46662, 49.478126), (8.466578, 49.478119), (8.466533, 49.478098), (8.466421, 49.478131), (8.466426, 49.478253), (8.466429, 49.478327), (8.46641, 49.478441), (8.466387, 49.47853), (8.466347, 49.478612), (8.465735, 49.479414), (8.465604, 49.479569), (8.465522, 49.479651), (8.465177, 49.479931), (8.465131, 49.479993), (8.465105, 49.480067), (8.465136, 49.480208), (8.465205, 49.480352), (8.465266, 49.48043), (8.465358, 49.480522), (8.466023, 49.481094), (8.466017, 49.481188), (8.465992, 49.481311), (8.465954, 49.481375), (8.465924, 49.481404), (8.465798, 49.481478), (8.465674, 49.481528), (8.465053, 49.481716), (8.464952, 49.481761), (8.465057, 49.481841), (8.46486, 49.4822), (8.464657, 49.482275), (8.46454, 49.482217), (8.464202, 49.482407), (8.46332, 49.482771)]",49.477824,8.467846,49.482771,8.46332,364019650,Lindenhofplatz / HBF Süd,660951,Universität Schloss
12,"[(8.483104, 49.476024), (8.48125, 49.475224), (8.481179, 49.475304), (8.481095, 49.475276), (8.480845, 49.475215), (8.480773, 49.475204), (8.480704, 49.475211), (8.48059, 49.475345), (8.480306, 49.475236), (8.479958, 49.475516), (8.479739, 49.4754), (8.479475, 49.475346), (8.478867, 49.475725), (8.47822, 49.476164), (8.476403, 49.477623), (8.476074, 49.477534), (8.473376, 49.479713), (8.472901, 49.479476), (8.472813, 49.479442), (8.472634, 49.479391), (8.472464, 49.47936), (8.472208, 49.479348), (8.47205, 49.479355), (8.471797, 49.479389), (8.471494, 49.479467), (8.471525, 49.479506), (8.471321, 49.479579), (8.470682, 49.479958), (8.470624, 49.479985), (8.470502, 49.479948), (8.470371, 49.479934), (8.470244, 49.479953), (8.47012, 49.479982), (8.47007, 49.479892), (8.470037, 49.479863), (8.46976, 49.479971)]",49.476024,8.483104,49.479971,8.46976,28450544,Schwetzingerstadt - Krappmühlstraße,339475,Hauptbahnhof Mannheim
13,"[(8.46976, 49.479971), (8.46976, 49.479971)]",49.479971,8.46976,49.479971,8.46976,339475,Hauptbahnhof Mannheim,339475,Hauptbahnhof Mannheim
14,"[(8.46976, 49.479971), (8.469592, 49.480037), (8.469371, 49.480145), (8.46911, 49.480244), (8.469076, 49.480251), (8.469101, 49.480266), (8.469264, 49.48041), (8.469205, 49.480435), (8.46924, 49.480479), (8.469264, 49.480581), (8.469057, 49.480661), (8.46905, 49.480684), (8.469015, 49.480688), (8.468761, 49.480784), (8.468782, 49.480807), (8.466351, 49.481754), (8.467141, 49.482627), (8.465846, 49.483141), (8.465779, 49.483319), (8.465751, 49.483319), (8.465686, 49.483405), (8.465685, 49.483436), (8.463197, 49.484415), (8.462279, 49.484761), (8.461529, 49.485063), (8.461515, 49.485161), (8.46217, 49.485873), (8.462107, 49.486026), (8.46209, 49.48611), (8.462015, 49.486109), (8.461971, 49.486115), (8.461934, 49.486129), (8.461708, 49.486262), (8.461676, 49.486299), (8.46167, 49.486359), (8.461696, 49.486426), (8.4616, 49.486463), (8.46298, 49.487977), (8.46426, 49.489356), (8.461565, 49.490414), (8.46108, 49.490602), (8.46112, 49.490685), (8.460896, 49.491055), (8.460922, 49.491155), (8.46117, 49.491329), (8.461215, 49.491382), (8.461309, 49.49154), (8.459411, 49.492294), (8.459654, 49.492497), (8.459702, 49.492622), (8.459902, 49.492765), (8.460187, 49.492945), (8.459933, 49.493032), (8.45989, 49.49313), (8.459008, 49.49349)]",49.479971,8.46976,49.49349,8.459008,339475,Hauptbahnhof Mannheim,339476,Jungbusch - Jungbuschstraße
15,"[(8.475887, 49.464978), (8.476487, 49.465171), (8.476349, 49.465341), (8.475556, 49.465098), (8.475015, 49.465521), (8.47447, 49.466105), (8.473981, 49.466706), (8.473047, 49.468047), (8.47282, 49.468399), (8.472504, 49.46892), (8.472362, 49.468883), (8.472212, 49.468871), (8.472065, 49.468951), (8.471533, 49.469273), (8.47151, 49.469316), (8.471395, 49.469381), (8.471364, 49.469417), (8.471146, 49.469554), (8.470791, 49.469796), (8.470573, 49.469978), (8.470412, 49.470153), (8.470315, 49.470318), (8.470234, 49.470574), (8.470184, 49.470814), (8.470059, 49.47126), (8.469824, 49.471903), (8.46978, 49.471983), (8.469563, 49.472255), (8.469065, 49.473697), (8.468991, 49.473763), (8.468596, 49.474897), (8.46867, 49.474909), (8.468553, 49.475161), (8.468397, 49.475606), (8.468369, 49.47572), (8.468355, 49.475895), (8.468353, 49.475938), (8.468335, 49.475975), (8.468299, 49.475997), (8.468217, 49.47616), (8.468085, 49.476554), (8.468085, 49.476761), (8.468064, 49.47685), (8.467815, 49.477584), (8.467769, 49.477579), (8.467726, 49.477653), (8.467721, 49.477705), (8.467846, 49.477824)]",49.464978,8.475887,49.477824,8.467846,660939,Neckarau - Markuskirche,364019650,Lindenhofplatz / HBF Süd
16,"[(8.482493, 49.478474), (8.482176, 49.478725), (8.481956, 49.478919), (8.481185, 49.479541), (8.481021, 49.479684), (8.48089, 49.479767), (8.479976, 49.48012), (8.479232, 49.480363), (8.477587, 49.480869), (8.477371, 49.480923), (8.476001, 49.481199), (8.475955, 49.481102), (8.475406, 49.480781), (8.473776, 49.479916), (8.47365, 49.480013), (8.473254, 49.479811), (8.473376, 49.479713), (8.472901, 49.479476), (8.472813, 49.479442), (8.472634, 49.479391), (8.472464, 49.47936), (8.472208, 49.479348), (8.47205, 49.479355), (8.471797, 49.479389), (8.471494, 49.479467), (8.471525, 49.479506), (8.471321, 49.479579), (8.470682, 49.479958), (8.470624, 49.479985), (8.470502, 49.479948), (8.470371, 49.479934), (8.470244, 49.479953), (8.47012, 49.479982), (8.47007, 49.479892), (8.470037, 49.479863), (8.46976, 49.479971)]",49.478474,8.482493,49.479971,8.46976,339485,Schwetzingerstadt - Pestalozzischule,339475,Hauptbahnhof Mannheim
17,"[(8.470818, 49.468842), (8.470619, 49.468844), (8.470709, 49.469015), (8.470772, 49.469251), (8.47068, 49.469307), (8.470688, 49.469378), (8.470675, 49.469514), (8.470591, 49.469742), (8.470482, 49.469857), (8.47026, 49.470066), (8.470127, 49.470228), (8.470105, 49.470385), (8.470276, 49.470423), (8.470184, 49.470814), (8.470059, 49.47126), (8.469824, 49.471903), (8.46978, 49.471983), (8.469563, 49.472255), (8.469065, 49.473697), (8.468991, 49.473763), (8.468596, 49.474897), (8.46867, 49.474909), (8.468553, 49.475161), (8.468397, 49.475606), (8.468369, 49.47572), (8.468355, 49.475895), (8.468353, 49.475938), (8.468335, 49.475975), (8.468299, 49.475997), (8.468217, 49.47616), (8.468085, 49.476554), (8.468085, 49.476761), (8.468064, 49.47685), (8.467815, 49.477584), (8.467769, 49.477579), (8.467726, 49.477653), (8.467721, 49.477705), (8.467846, 49.477824)]",49.468842,8.470818,49.477824,8.467846,30612064,Lindenhof - Meeräckerplatz,364019650,Lindenhofplatz / HBF Süd
18,"[(8.46976, 49.479971), (8.469592, 49.480037), (8.469371, 49.480145), (8.46911, 49.480244), (8.469076, 49.480251), (8.469101, 49.480266), (8.469264, 49.48041), (8.469205, 49.480435), (8.46924, 49.480479), (8.469264, 49.480581), (8.469057, 49.480661), (8.46905, 49.480684), (8.469015, 49.480688), (8.468761, 49.480784), (8.468782, 49.480807), (8.466351, 49.481754), (8.467141, 49.482627), (8.465846, 49.483141), (8.465779, 49.483319), (8.465751, 49.483319), (8.465686, 49.483405), (8.465685, 49.483436), (8.463197, 49.484415), (8.462279, 49.484761), (8.461529, 49.485063), (8.461515, 49.485161), (8.46217, 49.485873), (8.462139, 49.485948)]",49.479971,8.46976,49.485948,8.462139,339475,Hauptbahnhof Mannheim,30612264,B3 – Schillerplatz
19,"[(8.482362, 49.47032), (8.482098, 49.470511), (8.48133, 49.470992), (8.480561, 49.471405), (8.48049, 49.471435), (8.480113, 49.471586), (8.477872, 49.472442), (8.477147, 49.47273), (8.476848, 49.472858), (8.476831, 49.472903), (8.476651, 49.472994), (8.47653, 49.473084), (8.475435, 49.474032), (8.475268, 49.474144), (8.473552, 49.474974), (8.47332, 49.475061), (8.471512, 49.475958), (8.471439, 49.476003), (8.471323, 49.476111), (8.47091, 49.476316), (8.4705, 49.476566), (8.469728, 49.476976), (8.470285, 49.47743), (8.470196, 49.477508), (8.469845, 49.477707), (8.469758, 49.477723), (8.469266, 49.477979), (8.469233, 49.477977), (8.469125, 49.478034), (8.469057, 49.478068), (8.469029, 49.478151), (8.470256, 49.479241), (8.470266, 49.479274), (8.470308, 49.479286), (8.470366, 49.479335), (8.470335, 49.47935), (8.470361, 49.479373), (8.470214, 49.479447), (8.470428, 49.479631), (8.470312, 49.479687), (8.470253, 49.479737), (8.470132, 49.479816), (8.470037, 49.479863), (8.46976, 49.479971)]",49.47032,8.482362,49.479971,8.46976,339478,Hochschule Mannheim,339475,Hauptbahnhof Mannheim
20,"[(8.469198, 49.480801), (8.469137, 49.480735), (8.469135, 49.480703), (8.46905, 49.480684), (8.469015, 49.480688), (8.467326, 49.481341), (8.467267, 49.481316), (8.467188, 49.481318), (8.4669, 49.481426), (8.466342, 49.481649), (8.466313, 49.481667), (8.466241, 49.481664), (8.465754, 49.481855), (8.465695, 49.481855), (8.465605, 49.481866), (8.465544, 49.481918), (8.465424, 49.481974), (8.46496, 49.482155), (8.464965, 49.482161), (8.464657, 49.482275), (8.46454, 49.482217), (8.464202, 49.482407), (8.46332, 49.482771)]",49.480801,8.469198,49.482771,8.46332,276163348,Tunnelstraße / Suezkanal,660951,Universität Schloss
21,"[(8.46976, 49.479971), (8.470037, 49.479863), (8.47007, 49.479892), (8.47012, 49.479982), (8.470117, 49.480024), (8.470159, 49.480149), (8.470154, 49.480198), (8.470713, 49.480755), (8.471004, 49.48112), (8.471142, 49.481256), (8.47117, 49.48131), (8.471187, 49.481415), (8.471287, 49.481529), (8.471341, 49.481555), (8.473505, 49.483757), (8.473582, 49.483788), (8.474498, 49.484752), (8.474881, 49.485184), (8.474972, 49.485264), (8.47496, 49.485307), (8.475024, 49.485428), (8.475187, 49.485662), (8.475379, 49.485966), (8.47537, 49.485999), (8.4754, 49.486061), (8.475453, 49.486043), (8.475603, 49.486411), (8.475668, 49.48664), (8.475791, 49.487234), (8.475844, 49.487861), (8.475824, 49.488348), (8.475785, 49.488715), (8.475726, 49.489084), (8.475604, 49.489488), (8.475393, 49.489953), (8.475156, 49.490365), (8.475064, 49.490493), (8.474678, 49.490962), (8.474435, 49.491215), (8.474225, 49.491417), (8.473939, 49.491616), (8.4735, 49.491943), (8.473164, 49.49212), (8.472889, 49.492241), (8.472592, 49.492342), (8.472007, 49.492564), (8.471968, 49.492568), (8.471874, 49.492557), (8.471685, 49.492586), (8.471785, 49.492956), (8.471777, 49.493056), (8.47157, 49.493232), (8.471531, 49.493367), (8.471536, 49.493407), (8.471562, 49.493452), (8.472896, 49.494903), (8.47304, 49.495038), (8.473185, 49.495134), (8.473268, 49.495202), (8.473549, 49.495491), (8.4741, 49.496148), (8.474251, 49.496438), (8.474261, 49.496495), (8.47421, 49.496618), (8.473616, 49.49681), (8.47358, 49.496907), (8.473048, 49.49708)]",49.479971,8.46976,49.49708,8.473048,339475,Hauptbahnhof Mannheim,339343,Neckarstadt - Alter Messplatz
22,"[(8.46976, 49.479971), (8.469592, 49.480037), (8.469371, 49.480145), (8.46911, 49.480244), (8.469076, 49.480251), (8.469101, 49.480266), (8.469264, 49.48041), (8.469205, 49.480435), (8.46924, 49.480479), (8.469264, 49.480581), (8.469057, 49.480661), (8.46905, 49.480684), (8.469015, 49.480688), (8.468761, 49.480784), (8.468782, 49.480807), (8.466351, 49.481754), (8.467141, 49.482627), (8.465846, 49.483141), (8.465779, 49.483319), (8.465751, 49.483319), (8.465686, 49.483405), (8.465685, 49.483436), (8.463197, 49.484415), (8.462279, 49.484761), (8.461529, 49.485063), (8.461515, 49.485161), (8.46217, 49.485873), (8.462107, 49.486026), (8.46209, 49.48611), (8.462015, 49.486109), (8.461971, 49.486115), (8.461934, 49.486129), (8.461708, 49.486262), (8.461676, 49.486299), (8.46167, 49.486359), (8.461696, 49.486426), (8.4616, 49.486463), (8.46298, 49.487977), (8.46426, 49.489356), (8.463828, 49.489528), (8.46388, 49.489587), (8.463585, 49.489704), (8.463451, 49.489783), (8.46264, 49.490095), (8.462573, 49.490153), (8.461925, 49.490407), (8.462058, 49.49055), (8.462086, 49.490645), (8.46216, 49.490733), (8.462191, 49.49075), (8.462499, 49.491074), (8.462347, 49.491134)]",49.479971,8.46976,49.491134,8.462347,339475,Hauptbahnhof Mannheim,339466,G7 - Westliche Unterstadt
23,"[(8.481132, 49.456729), (8.480707, 49.457313), (8.478481, 49.460285), (8.477024, 49.462262), (8.476635, 49.462775), (8.476403, 49.463135), (8.476174, 49.463457), (8.475702, 49.464087), (8.475492, 49.464358), (8.475356, 49.464474), (8.475021, 49.4647), (8.474916, 49.464787), (8.474844, 49.464897), (8.474711, 49.46528), (8.47468, 49.465331), (8.473962, 49.466248), (8.473235, 49.46721), (8.473147, 49.467311), (8.473082, 49.467426), (8.472437, 49.468258), (8.472249, 49.468611), (8.4722, 49.468679), (8.471939, 49.468887), (8.472065, 49.468951), (8.471533, 49.469273), (8.47151, 49.469316), (8.471395, 49.469381), (8.471364, 49.469417), (8.471146, 49.469554), (8.470791, 49.469796), (8.470573, 49.469978), (8.470412, 49.470153), (8.470315, 49.470318), (8.470234, 49.470574), (8.470184, 49.470814), (8.470059, 49.47126), (8.469824, 49.471903), (8.46978, 49.471983), (8.469563, 49.472255), (8.469065, 49.473697), (8.468991, 49.473763), (8.468596, 49.474897), (8.46867, 49.474909), (8.468553, 49.475161), (8.468397, 49.475606), (8.468369, 49.47572), (8.468355, 49.475895), (8.468353, 49.475938), (8.468335, 49.475975), (8.468299, 49.475997), (8.468217, 49.47616), (8.468085, 49.476554), (8.468085, 49.476761), (8.468064, 49.47685), (8.467815, 49.477584), (8.467631, 49.477551), (8.467591, 49.477621), (8.467468, 49.477675), (8.467418, 49.477711), (8.467304, 49.477822), (8.466966, 49.477971), (8.4669, 49.478012), (8.46666, 49.478119), (8.46662, 49.478126), (8.466578, 49.478119), (8.466533, 49.478098), (8.466421, 49.478131), (8.466426, 49.478253), (8.466429, 49.478327), (8.46641, 49.478441), (8.466387, 49.47853), (8.466347, 49.478612), (8.465735, 49.479414), (8.465604, 49.479569), (8.465522, 49.479651), (8.465177, 49.479931), (8.465131, 49.479993), (8.465105, 49.480067), (8.465136, 49.480208), (8.465205, 49.480352), (8.465266, 49.48043), (8.465358, 49.480522), (8.466023, 49.481094), (8.466017, 49.481188), (8.465992, 49.481311), (8.465954, 49.481375), (8.465924, 49.481404), (8.465798, 49.481478), (8.465674, 49.481528), (8.465053, 49.481716), (8.464952, 49.481761), (8.465057, 49.481841), (8.46486, 49.4822), (8.464657, 49.482275), (8.46454, 49.482217), (8.464202, 49.482407), (8.46332, 49.482771)]",49.456729,8.481132,49.482771,8.46332,660971,Neckarau - Hans-Sachs-Ring,660951,Universität Schloss
24,"[(8.46976, 49.479971), (8.469592, 49.480037), (8.469371, 49.480145), (8.46911, 49.480244), (8.469076, 49.480251), (8.469101, 49.480266), (8.469264, 49.48041), (8.469205, 49.480435), (8.46924, 49.480479), (8.469264, 49.480581), (8.469057, 49.480661), (8.46905, 49.480684), (8.469015, 49.480688), (8.468761, 49.480784), (8.468782, 49.480807), (8.466351, 49.481754), (8.467141, 49.482627), (8.465846, 49.483141), (8.465779, 49.483319), (8.465751, 49.483319), (8.465686, 49.483405), (8.465685, 49.483436), (8.463476, 49.484306), (8.463409, 49.484452), (8.463369, 49.484444), (8.463288, 49.484492), (8.463111, 49.484553), (8.463036, 49.484567), (8.462986, 49.484645), (8.462905, 49.484638), (8.462808, 49.484649), (8.462514, 49.48476)]",49.479971,8.46976,49.48476,8.462514,339475,Hauptbahnhof Mannheim,148606240,A1 - Landgericht/Universität
25,"[(8.481132, 49.456729), (8.480562, 49.457508), (8.480722, 49.457555), (8.480685, 49.457601), (8.480714, 49.45761), (8.480822, 49.457587), (8.480852, 49.457596), (8.480814, 49.457645), (8.480996, 49.457701), (8.480898, 49.457836), (8.485351, 49.459241), (8.485815, 49.459104), (8.485834, 49.459143), (8.486038, 49.459096), (8.486147, 49.459228), (8.48627, 49.459286), (8.486621, 49.459402), (8.486708, 49.459293), (8.487297, 49.459433), (8.4873, 49.459451), (8.487321, 49.459475), (8.487345, 49.459486), (8.487387, 49.459491), (8.487463, 49.459712)]",49.456729,8.481132,49.459712,8.487463,660971,Neckarau - Hans-Sachs-Ring,31471648,Almenhof August-Bebel-Park
26,"[(8.469022, 49.489535), (8.469734, 49.490306), (8.46802, 49.490991), (8.46731, 49.490233), (8.466495, 49.490555), (8.463436, 49.491747), (8.460496, 49.492914), (8.460428, 49.492962), (8.46032, 49.492899), (8.459933, 49.493032), (8.45989, 49.49313), (8.459008, 49.49349)]",49.489535,8.469022,49.49349,8.459008,,,339476,Jungbusch - Jungbuschstraße
