u,v,key,stadtradeln_abs,nextbike_abs,stadtradeln_norm,nextbike_norm,diff_norm,geometry
21432861,1732861367,0,20.0,0.0,2.637284504186557e-06,0.0,2.637284504186557e-06,"LINESTRING (466768.7231681507 5481221.939367661, 466733.23337239155 5481178.5403293865, 466712.1878169334 5481159.05678951, 466695.8987611595 5481149.861643841, 466682.4382648996 5481143.628857607, 466671.0581472378 5481145.944121847, 466658.07458645536 5481183.412623722, 466653.4600970924 5481196.404184826, 466652.6827349864 5481201.956724623, 466654.3757209446 5481206.371274742, 466658.0662893037 5481210.517914688, 466687.6739571069 5481227.669839886, 466713.46819254645 5481246.679615364, 466718.95760401 5481253.617017754)"
21648952,1637262225,0,827.0,34.0,0.00010905171424811414,3.5075980247271216e-06,0.00010554411622338703,"LINESTRING (463114.16518918157 5479857.074448321, 463122.0704266936 5479852.851859967, 463125.48384896293 5479852.973344445)"
21648952,1637618746,0,4.0,148.0,5.274569008373114e-07,1.5268367872341588e-05,-1.4740910971504277e-05,"LINESTRING (463114.16518918157 5479857.074448321, 463123.97703759646 5479866.958686427)"
21648952,1637618748,0,424.0,581.0,5.5910431488755016e-05,5.993866036371934e-05,-4.028228874964326e-06,"LINESTRING (463114.16518918157 5479857.074448321, 463093.3735595802 5479869.277807075)"
21649702,1184512491,0,1739.0,911.0,0.00022931188763902115,9.398299413312964e-05,0.0001353288935058915,"LINESTRING (460522.2377960242 5482258.363111979, 460541.9847046089 5482257.9645852, 460568.1561451538 5482253.639530471, 460593.7715550439 5482247.528622265, 460623.7018509796 5482238.184722396, 460643.8283794452 5482229.156276036, 460650.7224997699 5482226.06023688, 460678.978702643 5482210.502647877, 460694.73021707166 5482203.373736158, 460709.8303972336 5482200.329856356, 460724.33774532226 5482200.447789688, 460741.66053770826 5482204.33673657, 460755.6953762079 5482211.262351994, 460767.473347352 5482219.582855917, 460788.06879114517 5482238.47992268, 460813.3246330111 5482282.103325471, 460823.189554892 5482298.375917953, 460833.2442645706 5482312.846054127, 460844.76608090167 5482327.9060523, 460859.7537732245 5482346.576792098, 460872.5657493586 5482360.793746614)"
21649767,1167512173,0,79.0,0.0,1.04172737915369e-05,0.0,1.04172737915369e-05,"LINESTRING (460583.56769670994 5481738.165621519, 460576.23001857597 5481739.09693556)"
21649767,1185897285,0,45.0,0.0,5.933890134419754e-06,0.0,5.933890134419754e-06,"LINESTRING (460583.56769670994 5481738.165621519, 460597.46520768147 5481731.894804569, 460604.0849358288 5481729.834668377, 460606.0803728547 5481729.3310754765)"
21649767,3913711609,0,93.0,1118.0,1.2263372944467491e-05,0.00011533807622485065,-0.00010307470328038316,"LINESTRING (460583.56769670994 5481738.165621519, 460580.7622239253 5481718.773907351, 460578.9961602537 5481702.899084137, 460577.5270859403 5481679.006061227, 460577.2292517839 5481668.857506973)"
21649781,1167512180,0,5.0,1118.0,6.593211260466393e-07,0.00011533807622485065,-0.00011467875509880402,"LINESTRING (460592.2675852242 5481556.724274899, 460586.4101424337 5481551.029695536)"
21650017,613102957,0,20.0,0.0,2.637284504186557e-06,0.0,2.637284504186557e-06,"LINESTRING (463096.49489231565 5479947.337556873, 463084.78136131295 5479970.163898019)"
21650017,2345889595,0,40.0,0.0,5.274569008373114e-06,0.0,5.274569008373114e-06,"LINESTRING (463096.49489231565 5479947.337556873, 463101.8842595126 5479935.371660522, 463106.9097218383 5479928.522451207)"
21650045,1861365302,0,5.0,0.0,6.593211260466393e-07,0.0,6.593211260466393e-07,"LINESTRING (462988.0380882005 5480336.196791417, 462995.54937311355 5480338.102632779)"
21650045,3435410450,0,1.0,0.0,1.3186422520932785e-07,0.0,1.3186422520932785e-07,"LINESTRING (462988.0380882005 5480336.196791417, 462972.9224902022 5480392.3890050845)"
21650045,8565628335,0,2.0,0.0,2.637284504186557e-07,0.0,2.637284504186557e-07,"LINESTRING (462988.0380882005 5480336.196791417, 463008.5183211952 5480255.864711654, 463009.88218406995 5480250.785717792)"
21672845,1861373002,0,734.0,1264.0,9.678834130364665e-05,0.00013040011480162006,-3.361177349797341e-05,"LINESTRING (463100.90264966374 5480595.313532567, 463092.5683444076 5480590.555815973, 463081.609439135 5480586.560755879, 463030.9044089432 5480573.573480676, 463000.8223987041 5480565.661179951, 462990.4295399461 5480562.896551806)"
21672882,1757085039,0,75.0,0.0,9.88981689069959e-06,0.0,9.88981689069959e-06,"LINESTRING (463123.4835271191 5480623.1891739955, 463125.5261565709 5480609.200194108, 463126.6077018292 5480605.223804273)"
21672897,1109628968,0,1082.0,387.0,0.00014267709167649275,3.9924718693217534e-05,0.00010275237298327521,"LINESTRING (462940.3617056003 5480544.59144202, 462936.53994035407 5480541.882381338, 462931.9829586951 5480537.588456048, 462926.27911595465 5480530.834149535)"
21672897,2594093285,0,240.0,0.0,3.1647414050238686e-05,0.0,3.1647414050238686e-05,"LINESTRING (462940.3617056003 5480544.59144202, 462926.9405498933 5480541.825252691)"
21672897,2594093310,0,98.0,568.0,1.292269407051413e-05,5.8597519942500155e-05,-4.567482587198602e-05,"LINESTRING (462940.3617056003 5480544.59144202, 462935.95852440567 5480556.550826063, 462933.61911284167 5480561.970001674, 462927.9537380001 5480571.547614718)"
21672943,283626082,0,2.0,187.0,2.637284504186557e-07,1.929178913599917e-05,-1.9028060685580514e-05,"LINESTRING (463452.56701993145 5480553.73558036, 463446.61337255914 5480559.345491233, 463439.5051888524 5480566.719764183, 463417.59879960713 5480594.97249063, 463408.90489980625 5480607.860780166, 463399.24458139925 5480621.389281648, 463392.2826780447 5480630.0300763855, 463386.3656077442 5480636.751598235, 463380.7628169701 5480642.803946012, 463373.58411679807 5480649.356057672, 463364.90785659384 5480656.207291947, 463354.8653377133 5480662.411754777)"
21672943,3637811035,0,6.0,587.0,7.911853512559672e-07,6.05576482504359e-05,-5.976646289917993e-05,"LINESTRING (463452.56701993145 5480553.73558036, 463442.4800389799 5480538.1936041815, 463430.5127189779 5480518.817453373)"
21672943,8194104340,0,435.0,0.0,5.736093796605762e-05,0.0,5.736093796605762e-05,"LINESTRING (463452.56701993145 5480553.73558036, 463457.42797125824 5480561.296557284, 463478.82109348563 5480598.142606786, 463479.7884709295 5480599.803818204, 463480.8168493365 5480601.92045483)"
21672958,266921419,0,43.0,0.0,5.6701616840010985e-06,0.0,5.6701616840010985e-06,"LINESTRING (462808.0461857131 5480334.840397611, 462795.165047396 5480313.592914539)"
21672958,1637578899,0,1049.0,3892.0,0.00013832557224458493,0.00040151680918346934,-0.0002631912369388844,"LINESTRING (462808.0461857131 5480334.840397611, 462809.4312260505 5480324.39126552, 462809.90583062655 5480321.74197534, 462810.7896858544 5480319.612438845, 462811.32530001126 5480318.4747663345, 462812.80050316063 5480317.00827632, 462813.3272314783 5480316.693388373, 462814.57545693545 5480315.939989514, 462816.5369744418 5480315.670920962, 462822.3235111796 5480315.364691895)"
21672962,1539702082,0,10.0,0.0,1.3186422520932786e-06,0.0,1.3186422520932786e-06,"LINESTRING (462963.71491043497 5480427.706270898, 462962.0484538103 5480434.088124134)"
21672962,3435410450,0,10.0,0.0,1.3186422520932786e-06,0.0,1.3186422520932786e-06,"LINESTRING (462963.71491043497 5480427.706270898, 462972.9224902022 5480392.3890050845)"
21673578,282418126,0,10.0,0.0,1.3186422520932786e-06,0.0,1.3186422520932786e-06,"LINESTRING (462511.09620647674 5480271.575586597, 462508.1397893902 5480267.28214013)"
21673578,1637257696,0,99.0,1728.0,1.3054558295723458e-05,0.00017826851137436666,-0.0001652139530786432,"LINESTRING (462511.09620647674 5480271.575586597, 462540.32906351215 5480268.3620249545)"
21673578,1806886368,0,114.0,2829.0,1.5032521673863376e-05,0.00029185278858685375,-0.00027682026691299035,"LINESTRING (462511.09620647674 5480271.575586597, 462499.642686618 5480287.49723233, 462500.1047670841 5480291.485384025)"
21673578,1806886384,0,33.0,2829.0,4.35151943190782e-06,0.00029185278858685375,-0.0002875012691549459,"LINESTRING (462511.09620647674 5480271.575586597, 462524.26820851583 5480255.853412256)"
21673581,21673584,0,2173.0,2275.0,0.00028654096137986943,0.00023469957371335888,5.1841387666510554e-05,"LINESTRING (462524.5174964423 5480232.003815808, 462544.66828130034 5480200.6909885295, 462560.06752126134 5480175.859192698, 462576.3826254567 5480152.4998461185)"
21673584,299049984,0,3824.0,4319.0,0.0005042487972004697,0.00044556811378813053,5.868068341233917e-05,"LINESTRING (462576.3826254567 5480152.4998461185, 462597.651070434 5480121.379688139, 462605.13670466497 5480111.011020723, 462611.8937371569 5480103.215585099, 462616.52451993874 5480098.091888924, 462621.78461931477 5480092.819356807, 462626.68364694546 5480086.6598697435, 462631.2273273943 5480079.391029833, 462634.637119095 5480070.52897595, 462635.89828713913 5480064.249857222, 462636.29990836495 5480058.354627932, 462635.82216570573 5480052.065171181, 462624.761648164 5479956.149005672, 462615.16632237623 5479866.871338812, 462613.115197516 5479850.89785893, 462607.79910708015 5479834.26854186, 462600.85623830644 5479812.858560751, 462599.6575628823 5479808.163903388, 462596.20729010645 5479792.088833182, 462596.12280828744 5479790.332785819, 462595.1650264832 5479780.611195425, 462595.08233109675 5479775.942249861, 462594.5734043 5479762.9933989225, 462594.2038158509 5479756.6364998305, 462593.8091406753 5479749.790585692)"
21673613,299049942,0,1321.0,4205.0,0.0001741926415015221,0.00043380734394051607,-0.00025961470243899393,"LINESTRING (462532.7574057574 5479828.945944435, 462541.9760671855 5479817.675878751, 462548.37111454236 5479813.051451949, 462558.55812259606 5479813.026076568, 462591.1553633553 5479818.27270226, 462594.7676401632 5479818.859444614)"
21673613,1934160331,0,8.0,3157.0,1.0549138016746228e-06,0.0003256907930606919,-0.00032463587925901725,"LINESTRING (462532.7574057574 5479828.945944435, 462594.98425802117 5479844.14003486)"
21673613,2582185254,0,86.0,16245.0,1.1340323368002197e-05,0.0016759097032850616,-0.0016645693799170595,"LINESTRING (462532.7574057574 5479828.945944435, 462477.5261861531 5479891.329597774)"
