start_id,end_id,start_lat,start_lon,end_lat,end_lon,count
339478,364019650,49.470261,8.482255,49.477839,8.467814,2149
660951,339475,49.48275,8.463303,49.47996,8.469749,1895
339475,339472,49.47996,8.469749,49.48711,8.456876,1877
339472,339475,49.48711,8.456876,49.47996,8.469749,1819
364019650,339478,49.477839,8.467814,49.470261,8.482255,1668
339475,660951,49.47996,8.469749,49.48275,8.463303,1602
660951,339468,49.48275,8.463303,49.484576,8.459859,1237
364019650,660971,49.477839,8.467814,49.456695,8.481027,1199
148606240,339472,49.484796,8.462552,49.48711,8.456876,1164
339472,660951,49.48711,8.456876,49.48275,8.463303,1106
339468,339475,49.484576,8.459859,49.47996,8.469749,1011
660971,364019650,49.456695,8.481027,49.477839,8.467814,993
339472,276163348,49.48711,8.456876,49.480781,8.469247,964
660951,339472,49.48275,8.463303,49.48711,8.456876,958
339475,7853258,49.47996,8.469749,49.492344,8.482906,909
339472,339463,49.48711,8.456876,49.487956,8.466007,898
364019650,660951,49.477839,8.467814,49.48275,8.463303,860
364019650,660939,49.477839,8.467814,49.464913,8.475941,803
28450544,339475,49.475967,8.483157,49.47996,8.469749,791
339475,339476,49.47996,8.469749,49.493448,8.458968,791
339475,339485,49.47996,8.469749,49.478512,8.482561,791
364019650,30612064,49.477839,8.467814,49.468919,8.470824,765
7853258,339475,49.492344,8.482906,49.47996,8.469749,763
339463,339472,49.487956,8.466007,49.48711,8.456876,754
339475,339468,49.47996,8.469749,49.484576,8.459859,737
339472,148606240,49.48711,8.456876,49.484796,8.462552,731
660951,364019650,49.48275,8.463303,49.477839,8.467814,721
339475,28450544,49.47996,8.469749,49.475967,8.483157,718
660971,660951,49.456695,8.481027,49.48275,8.463303,716
276163348,339472,49.480781,8.469247,49.48711,8.456876,715
660951,276163348,49.48275,8.463303,49.480781,8.469247,673
339476,339475,49.493448,8.458968,49.47996,8.469749,671
660971,339478,49.456695,8.481027,49.470261,8.482255,662
339475,30612264,49.47996,8.469749,49.485946,8.46215,662
660939,364019650,49.464913,8.475941,49.477839,8.467814,634
339475,339466,49.47996,8.469749,49.491183,8.462391,628
339485,339475,49.478512,8.482561,49.47996,8.469749,626
339475,339478,49.47996,8.469749,49.470261,8.482255,626
30612064,364019650,49.468919,8.470824,49.477839,8.467814,625
30612264,339475,49.485946,8.46215,49.47996,8.469749,623
339478,339475,49.470261,8.482255,49.47996,8.469749,616
339468,660951,49.484576,8.459859,49.48275,8.463303,609
339476,339462,49.493448,8.458968,49.489761,8.468437,603
339343,339475,49.49707,8.473044,49.47996,8.469749,599
339475,339343,49.47996,8.469749,49.49707,8.473044,594
31471648,660971,49.459715,8.487411,49.456695,8.481027,593
148606240,339475,49.484796,8.462552,49.47996,8.469749,584
339485,58196168,49.478512,8.482561,49.479693,8.471489,573
339472,339468,49.48711,8.456876,49.484576,8.459859,553
339466,339475,49.491183,8.462391,49.47996,8.469749,553
339475,148606240,49.47996,8.469749,49.484796,8.462552,537
276163348,660951,49.480781,8.469247,49.48275,8.463303,530
339475,31471276,49.47996,8.469749,49.487604,8.471435,529
339456,339475,49.490685,8.475705,49.47996,8.469749,526
29964359,339475,49.484387,8.473963,49.47996,8.469749,522
7853258,58196168,49.492344,8.482906,49.479693,8.471489,520
339475,339456,49.47996,8.469749,49.490685,8.475705,508
339485,7853258,49.478512,8.482561,49.492344,8.482906,502
31471276,339475,49.487604,8.471435,49.47996,8.469749,488
339463,339476,49.487956,8.466007,49.493448,8.458968,486
660939,660951,49.464913,8.475941,49.48275,8.463303,485
660971,31471648,49.456695,8.481027,49.459715,8.487411,483
339475,339487,49.47996,8.469749,49.485371,8.469493,481
58196168,7853258,49.479693,8.471489,49.492344,8.482906,480
276163348,339475,49.480781,8.469247,49.47996,8.469749,478
339343,148606240,49.49707,8.473044,49.484796,8.462552,476
339487,339475,49.485371,8.469493,49.47996,8.469749,476
339462,339476,49.489761,8.468437,49.493448,8.458968,470
339475,339462,49.47996,8.469749,49.489761,8.468437,468
364019650,339472,49.477839,8.467814,49.48711,8.456876,463
339350,339475,49.506903,8.492206,49.47996,8.469749,460
339475,339463,49.47996,8.469749,49.487956,8.466007,458
339475,30612250,49.47996,8.469749,49.4908,8.471387,456
339475,339464,49.47996,8.469749,49.489012,8.462997,448
339463,339475,49.487956,8.466007,49.47996,8.469749,448
660951,339463,49.48275,8.463303,49.487956,8.466007,441
339349,339475,49.498946,8.467224,49.47996,8.469749,439
28450596,660951,49.479913,8.475652,49.48275,8.463303,437
1557693,660951,49.47365,8.46642,49.48275,8.463303,432
339476,339472,49.493448,8.458968,49.48711,8.456876,432
364019650,28450242,49.477839,8.467814,49.473974,8.472009,431
339475,28450681,49.47996,8.469749,49.496424,8.47725,431
339354,339476,49.493002,8.470325,49.493448,8.458968,426
339472,339476,49.48711,8.456876,49.493448,8.458968,425
339352,339472,49.497225,8.457751,49.48711,8.456876,421
660951,660971,49.48275,8.463303,49.456695,8.481027,417
339475,339346,49.47996,8.469749,49.497263,8.483832,415
339472,339487,49.48711,8.456876,49.485371,8.469493,411
339475,30612203,49.47996,8.469749,49.4945,8.459644,410
30612203,339475,49.4945,8.459644,49.47996,8.469749,407
339472,339352,49.48711,8.456876,49.497225,8.457751,406
148606240,339476,49.484796,8.462552,49.493448,8.458968,405
28450242,364019650,49.473974,8.472009,49.477839,8.467814,405
339472,339464,49.48711,8.456876,49.489012,8.462997,404
339472,33282192,49.48711,8.456876,49.489671,8.466929,404
339468,339472,49.484576,8.459859,49.48711,8.456876,403
339475,660943,49.47996,8.469749,49.474329,8.486944,400
30612231,339475,49.500678,8.470904,49.47996,8.469749,400
339472,339462,49.48711,8.456876,49.489761,8.468437,397
339478,660971,49.470261,8.482255,49.456695,8.481027,395
339475,339350,49.47996,8.469749,49.506903,8.492206,394
339354,339475,49.493002,8.470325,49.47996,8.469749,394
339475,30612225,49.47996,8.469749,49.497065,8.492131,393
339472,31471276,49.48711,8.456876,49.487604,8.471435,391
339462,339472,49.489761,8.468437,49.48711,8.456876,390
57585616,57585097,49.528227,8.476462,49.525003,8.481472,390
339472,364019650,49.48711,8.456876,49.477839,8.467814,385
146888993,339485,49.48489,8.487298,49.478512,8.482561,385
660951,1557693,49.48275,8.463303,49.47365,8.46642,382
339475,28450596,49.47996,8.469749,49.479913,8.475652,381
339472,339354,49.48711,8.456876,49.493002,8.470325,380
31471276,339472,49.487604,8.471435,49.48711,8.456876,377
339475,339349,49.47996,8.469749,49.498946,8.467224,377
339352,339354,49.497225,8.457751,49.493002,8.470325,376
364019650,1557693,49.477839,8.467814,49.47365,8.46642,374
339466,148606240,49.491183,8.462391,49.484796,8.462552,374
57585097,57585616,49.525003,8.481472,49.528227,8.476462,370
58196168,339485,49.479693,8.471489,49.478512,8.482561,370
28450681,339475,49.496424,8.47725,49.47996,8.469749,369
28450544,58196168,49.475967,8.483157,49.479693,8.471489,367
339485,660951,49.478512,8.482561,49.48275,8.463303,367
339463,339352,49.487956,8.466007,49.497225,8.457751,363
339464,339475,49.489012,8.462997,49.47996,8.469749,361
339476,148606240,49.493448,8.458968,49.484796,8.462552,361
339354,339352,49.493002,8.470325,49.497225,8.457751,359
660951,28450596,49.48275,8.463303,49.479913,8.475652,358
339475,276163348,49.47996,8.469749,49.480781,8.469247,357
339466,660951,49.491183,8.462391,49.48275,8.463303,356
339476,339463,49.493448,8.458968,49.487956,8.466007,351
339476,339354,49.493448,8.458968,49.493002,8.470325,350
660951,660939,49.48275,8.463303,49.464913,8.475941,347
339475,339352,49.47996,8.469749,49.497225,8.457751,345
33282192,339472,49.489671,8.466929,49.48711,8.456876,340
339475,339354,49.47996,8.469749,49.493002,8.470325,340
339346,339343,49.497263,8.483832,49.49707,8.473044,338
660939,660971,49.464913,8.475941,49.456695,8.481027,337
30612250,339475,49.4908,8.471387,49.47996,8.469749,337
660951,339476,49.48275,8.463303,49.493448,8.458968,337
339352,339475,49.497225,8.457751,49.47996,8.469749,335
30612162,4726808,49.478184,8.506728,49.473472,8.53399,335
660951,31471276,49.48275,8.463303,49.487604,8.471435,335
4726808,30612162,49.473472,8.53399,49.478184,8.506728,335
339462,339475,49.489761,8.468437,49.47996,8.469749,334
339464,339472,49.489012,8.462997,49.48711,8.456876,334
660971,339475,49.456695,8.481027,49.47996,8.469749,333
339468,276163348,49.484576,8.459859,49.480781,8.469247,332
27230871,7853258,49.503921,8.477009,49.492344,8.482906,331
364019650,339468,49.477839,8.467814,49.484576,8.459859,331
339472,27230822,49.48711,8.456876,49.485956,8.466076,330
