lat,lon,snap_lat,snap_lon,snap_dist_m,error
49.470261,8.482255,49.47032167153196,8.48235930241912,10.115181400717711,
49.48711,8.456876,49.487119579558,8.456849246291632,2.206659159898008,
49.47996,8.469749,49.479971404136194,8.469759596216651,1.4812349145007473,
49.456695,8.481027,49.4567255586727,8.481133957617645,8.4446208417909,
49.484576,8.459859,49.48454677951191,8.45993676222339,6.489394665942289,
49.487956,8.466007,49.487872062836175,8.465929626657287,10.878793543785566,
49.48275,8.463303,49.482770095493066,8.46332203381447,2.623687933438867,
49.464913,8.475941,49.46497840448709,8.475889766947374,8.16085880556366,
49.468919,8.470824,49.468841548652065,8.470822242670204,8.613133111540437,
49.49707,8.473044,49.49707899760909,8.473050937087642,1.118915635760878,
49.491183,8.462391,49.49113411031069,8.462345642525234,6.347126014924914,
49.489761,8.468437,49.489779876712284,8.468454692266295,2.4574087380581875,
49.490685,8.475705,49.490684947928756,8.47570494126915,0.007177741403109144,
49.492344,8.482906,49.49236984199712,8.482834103321588,5.934873186864582,
49.478512,8.482561,49.47847485908627,8.482491479395918,6.502539904143214,
49.506903,8.492206,49.506875207702265,8.492247171532233,4.28810717354839,
49.473974,8.472009,49.47396558644445,8.472010817563767,0.9447170626543699,
49.497225,8.457751,49.49722062482655,8.457804984896644,3.9289942052976525,
49.498946,8.467224,49.499000117677824,8.467304497233364,8.366934405653328,
49.489012,8.462997,49.488987867252625,8.462977726086581,3.0230818501032926,
49.493002,8.470325,49.493031765365515,8.470382946050622,5.33575790195466,
49.493448,8.458968,49.49348971770463,8.459008269311251,5.475172859029538,
49.525003,8.481472,49.52499731836228,8.481515586951543,3.2088448381843833,
49.497263,8.483832,49.497228485437255,8.483812553123252,4.086747476739409,
49.47365,8.46642,49.473664018137555,8.466378115907043,3.4041428959277185,
49.473472,8.53399,49.47346827373177,8.534031598863612,3.0341284290442934,
49.475967,8.483157,49.47602216618021,8.483099804871927,7.396286575231464,
49.485371,8.469493,49.48543838393723,8.469554081012438,8.695385582323102,
49.477082,8.463662,49.47712116254327,8.463639575820018,4.646290576069459,
49.485946,8.46215,49.48594433263351,8.462140465562324,0.7132485943414503,
49.483245,8.474793,49.48325458132015,8.474767995527836,2.09711033930981,
49.508376,8.476054,49.50833235155407,8.476060666171026,4.87729335136108,
49.46461,8.471902,49.46458114126531,8.471903201925194,3.210120243882382,
49.485357,8.47665,49.48535178422564,8.476646164192791,0.6427594113353036,
49.496424,8.47725,49.496403476149226,8.47722983304361,2.707305859521418,
49.494114,8.4676,49.49407284752149,8.467595978190525,4.585156812186774,
49.484796,8.462552,49.48475881932784,8.462518518451754,4.78980582183745,
49.484705,8.463544,49.4847221432133,8.463499098430043,3.762266515745959,
49.503921,8.477009,49.503893884789925,8.476997110613723,3.134922524705354,
49.489671,8.466929,49.4896362,8.4669101,4.1033319527809295,
49.497065,8.492131,49.49707748868299,8.492115349180523,1.7905300209782136,
49.487604,8.471435,49.487586013439476,8.471418095142015,2.3433182935139767,
49.479913,8.475652,49.47992270749438,8.475669654284859,1.6708937797647638,
49.487939,8.478742,49.48793822370576,8.478742386759741,0.09072820665855157,
49.4945,8.459644,49.49449836903518,8.459652300580542,0.6263271718223408,
49.485698,8.473613,49.48572959579874,8.473642227383888,4.098869701607913,
49.508189,8.512414,49.508148415000385,8.512467083688847,5.920832577551339,
49.474329,8.486944,49.47433580226938,8.486921235951268,1.8103572579684655,
49.4908,8.471387,49.49083000553298,8.471310332323522,6.465077482210596,
49.459715,8.487411,49.459707684328635,8.487461184688474,3.717187558258594,
49.463125,8.555903,49.46312399106395,8.555901966705447,0.13476931468164732,
49.500855,8.499588,49.5009762,8.4998825,25.177585129964697,
49.479502,8.495221,49.47939966775651,8.495129906450952,13.144912713867273,
49.483335,8.480367,49.483275539663055,8.480310864884054,7.756226637691893,
49.481997,8.483387,49.48197129127627,8.483454029606289,5.623199485121885,
49.47764,8.522075,49.4776090582167,8.522044683754498,4.078593481243523,
49.474531,8.489524,49.474610053523165,8.489492314142213,9.083588941206816,
49.481645,8.478822,49.481626092383586,8.478804635708102,2.4482304429325192,
49.514029,8.527681,49.51407774891634,8.527625597508141,6.7365668816496305,
49.500678,8.470904,49.50069722833756,8.470963284020597,4.785366332870077,
49.489559,8.480297,49.489558894183205,8.480298709813537,0.12406032605344877,
49.502211,8.465255,49.50218799544136,8.465220167028638,3.5875279568613214,
49.476208,8.470888,49.476203992988424,8.470896107629912,0.7359762945161586,
49.485956,8.466076,49.48605857233989,8.466170305448552,13.285054378968999,
49.452873,8.495253,49.45288891804383,8.495198639621599,4.309680929344882,
49.478184,8.506728,49.47822735920313,8.506694928991624,5.380882877077122,
49.479693,8.471489,49.479669640026806,8.47155026209636,5.131826500940306,
49.501925,8.491123,49.502016792798095,8.4912931041726,15.970858934874233,
49.518742,8.531093,49.518707707026245,8.531049186951266,4.95414966181568,
49.480781,8.469247,49.48076429759172,8.469289943651464,3.6158282860693944,
49.484387,8.473963,49.484331082860926,8.474101351301577,11.770531277100439,
49.531124,8.480346,49.531153796005015,8.480318738283279,3.853305272591186,
49.483827,8.538324,49.48385693276708,8.538324899708021,3.329006360431997,
49.478118,8.501873,49.47803187973617,8.5018649897284,9.593607748883924,
49.499357,8.461822,49.49931143498974,8.461898840304233,7.514198837860621,
49.529564,8.468378,49.52958892070261,8.468354644824599,3.2434451622748113,
49.486102,8.530755,49.48610690462496,8.53065922106328,6.9401324801075885,
49.478289,8.489728,49.478364687401836,8.489799066967626,9.858601118054207,
49.48489,8.487298,49.48489636147105,8.487278511606517,1.5755157966096258,
49.495086,8.524709,49.49510513982894,8.5247026650682,2.176875097800174,
49.534083,8.493429,49.534068085959625,8.493489439249071,4.666233221323975,
49.476138,8.505714,49.47613697943957,8.505705093376145,0.6534378078962427,
49.467427,8.563108,49.4680646,8.5638614,89.38980562584945,
49.512469,8.517848,49.51243688244466,8.517831036739787,3.7754640608597496,
49.524164,8.50109,49.524152438215765,8.501077540844488,1.5689276584700504,
49.485402,8.512012,49.485393549207465,8.512082760551156,5.197177698614692,
49.525543,8.535079,49.52555815891101,8.535064190397947,1.9959511134551222,
49.467531,8.503804,49.4675454320827,8.503816966565493,1.8583004758734194,
49.477839,8.467814,49.47782472147296,8.467846107745352,2.8110316118947223,
49.509912,8.483559,49.50990148556948,8.48356745082267,1.318788995318634,
49.521503,8.525401,49.52154992113307,8.5253772152644,5.492614160877349,
49.4658,8.508968,49.46581144605171,8.508980965219788,1.5804221432314212,
49.528227,8.476462,49.52830312478057,8.476577213767714,11.865779856749691,
49.524519,8.485152,49.52450611712805,8.485200133360966,3.7579680651888228,
49.519299,8.5507,49.5192914,8.5506946,0.9306522928196402,
49.503207,8.518642,49.5032005760794,8.518595155850264,3.4572411766229822,
49.495924,8.45803,49.49596952585587,8.458072931334781,5.936309577941529,
49.451792,8.537525,49.45177961072505,8.537514239370877,1.582054484407717,
49.501747,8.493006,49.5017177840435,8.49304363383382,4.2354949618440685,
