u,v,k,route_id
1716261648,1716261627,0,0
1716261627,1716261648,0,0
1618021337,35679535,0,1
1618021337,35679535,0,1
12492909340,738865834,0,2
738865834,312482790,0,2
35679535,266093098,0,3
1716261619,1716261648,0,4
1618021337,35679535,0,5
35679535,266093098,0,6
35679535,266093098,0,6
35679535,266093098,0,7
35679535,266093098,0,7
35679535,266093098,0,7
1716261615,1716261619,0,8
1716261615,1716261619,0,8
1618021337,35679535,0,9
1618021337,35679535,0,9
1618021337,35679535,0,10
1618021337,35679535,0,11
1618021337,35679535,0,11
638962304,1716261615,0,12
1618021337,35679535,0,13
35679535,266093098,0,14
35679535,266093098,0,14
35679535,266093098,0,14
35679535,266093098,0,14
35679535,266093098,0,14
35679535,266093098,0,14
35679535,266093098,0,14
35679535,266093098,0,14
35679535,266093098,0,14
35679535,266093098,0,14
35679535,266093098,0,14
35679535,266093098,0,14
266093098,266093101,0,14
266093098,266093101,0,14
266093101,724263430,0,14
266093101,724263430,0,14
312482772,724263430,0,14
312482772,434492205,0,14
434492206,434492205,0,14
434492206,434492207,0,14
434492207,1618021337,0,14
1618021337,35679535,0,14
1618021337,35679535,0,14
1618021337,35679535,0,14
1618021337,35679535,0,14
1618021337,35679535,0,14
1618021337,35679535,0,14
1618021337,35679535,0,14
1618021337,35679535,0,14
1618021337,35679535,0,14
1618021337,35679535,0,14
1618021337,35679535,0,14
1618021337,35679535,0,14
1618021337,35679535,0,15
1618021337,35679535,0,15
1618021337,35679535,0,15
1618021337,867041004,0,16
867041004,1745612004,0,17
867041138,867041004,0,18
867041004,388437250,0,19
1745612004,469112285,0,20
469112285,1745612004,0,20
1745612004,469112285,0,21
469112285,1745612004,0,21
469112285,1745612004,0,22
469112285,1745612004,0,22
1745612004,469112285,0,23
469112285,1745612004,0,24
1745612004,469112285,0,24
849460957,297613705,0,25
1745612004,469112285,0,26
1745612004,469112285,0,26
1745612004,469112285,0,27
849460954,469112285,0,28
469112285,469112261,0,29
849460954,469112285,0,30
849460954,469112285,0,30
388437250,388437249,0,31
388437248,388437249,0,32
469112258,388437250,0,33
469112258,388437250,0,33
469112258,388437250,0,33
469112258,388437246,0,34
388437246,388437248,0,35
388437246,469112258,0,36
738865796,388437246,0,36
738865796,452961921,0,36
388437248,452961919,0,37
312482790,312482792,0,38
469112295,469112261,0,39
469112266,469112261,0,39
469112295,469112261,0,40
469112261,469112295,0,40
469112266,469112261,0,41
469112261,469112266,0,41
469112261,469112266,0,42
469112261,469112266,0,42
469112266,469112261,0,43
469112261,469112288,0,43
469112295,738865796,0,44
469112295,738865796,0,45
469112295,738865796,0,45
309112072,312482790,0,46
312482790,309112072,0,46
452961921,738865796,0,47
9728550615,579926025,0,48
579926025,12492909346,0,48
12492909340,12492909346,0,48
452961921,469112291,0,49
452961919,452961921,0,50
452961919,452961920,0,51
452961919,452961922,0,52
452961919,452961922,0,53
452961922,452961919,0,53
452961922,452961920,0,54
452961919,452961922,0,55
452961919,452961922,0,55
452961920,452961922,0,56
452961922,452961920,0,56
469112288,469112291,0,57
469112291,469112288,0,57
469112291,452961924,0,58
452961924,469112291,0,58
867041138,452961924,0,58
469112291,469112288,0,59
469112291,469112288,0,59
469112288,469112291,0,60
469112291,469112288,0,60
469112288,469112291,0,61
1716261627,1716261619,0,62
1716261627,1716261619,0,62
469112279,469112288,0,63
469112288,469112279,0,63
452961920,452961922,0,64
452961922,452961920,0,64
469112279,469112288,0,65
469112288,469112279,0,65
2412690052,2412690066,0,66
2412690066,2412690052,0,66
418870001,2412690066,0,66
2412690066,2412690052,0,67
469112279,469112288,0,68
469112279,469112288,0,68
2412690052,2412690066,0,69
2412690066,2412690052,0,69
689272841,2412690066,0,69
1356334674,1356334683,0,70
1356334674,1356334683,0,70
1356334674,1356334683,0,71
1356334674,1356334683,0,71
2412690052,418870017,0,72
418870017,2412690052,0,72
2412690066,418870001,0,73
689272841,2412690066,0,74
418870001,2621102860,0,75
418870001,2621102860,0,75
2412690052,418870017,0,76
452961922,452961920,0,77
452961924,452961920,0,78
452961924,867041138,0,79
469112279,469112288,0,80
469112288,469112279,0,80
452961920,452961922,0,81
452961922,452961920,0,81
1356334683,1356334674,0,82
452961922,452961920,0,83
452961922,452961920,0,83
452961920,452961922,0,84
452961922,452961920,0,84
1356334683,418891755,0,85
1356334683,1748919089,0,86
452961924,867041138,0,87
452961924,867041138,0,87
35679535,266093098,0,88
35679535,266093098,0,88
452961922,452961920,0,89
452961920,452961922,0,89
1764208811,418870017,0,90
418870017,689272841,0,91
689272841,2412690066,0,92
2146855989,1764208811,0,93
689272841,2412690066,0,94
689272849,689272841,0,95
1356334674,1356334683,0,96
1356334683,1356334674,0,96
689272849,689272841,0,97
689272849,689272841,0,97
689272841,689272849,0,97
418870001,2621102860,0,98
2621102891,2621102895,0,98
689272841,2412690066,0,99
689272849,689272841,0,100
689272849,689272841,0,100
689272849,689272841,0,100
689272841,2412690066,0,100
418870001,2621102860,0,101
418870001,2621102860,0,101
689272841,2412690066,0,102
689272849,689272841,0,103
689272849,689272841,0,103
2405949618,2405949525,0,104
2405949618,2405949525,0,105
2076305644,418869966,0,106
689272841,689272849,0,107
418869966,2405949618,0,108
418870001,2621102860,0,109
638962304,638962316,0,110
345014430,430116824,0,111
9232586569,9232586571,0,112
9232586569,9232586571,0,112
2405949618,2405949525,0,113
2405949402,2405949400,0,113
430116745,430116749,0,114
430116745,430116749,0,114
9232586551,9232586549,0,115
9232586551,9232586549,0,115
9232586554,9232586551,0,115
2405949402,2405949400,0,116
416069803,443308953,0,117
867041138,813707828,0,118
813707828,867041138,0,118
2076305644,2076305646,0,119
873894607,2076305644,0,120
2076305646,418869967,0,121
418869967,2076305646,0,121
2076305646,2146855959,0,122
2076305646,2076305644,0,123
2076305644,2076305646,0,123
2076305644,2076305646,0,124
2076305646,418869967,0,124
873894607,2076305644,0,125
430116745,430116749,0,126
430871788,430871817,0,127
2076305646,418869967,0,128
418869967,873894607,0,129
430871788,430871817,0,130
430871817,430871788,0,130
418869967,2076305646,0,131
418869967,434384454,0,132
418869967,434384454,0,133
2076305646,418869967,0,134
430871815,430871817,0,135
430871817,430871815,0,135
2076305646,418869967,0,136
2076305646,418869967,0,136
2409129705,416069803,0,137
870216183,2621102860,0,138
418891755,1356334683,0,139
1356334683,418891755,0,139
418891749,418891755,0,139
2409129705,416069803,0,140
2409129705,416069803,0,140
